content,bank,nouns,keywords,vader_compound,tb_polarity,tb_subjectivity,sentiment,transformer_sentiment_label,transformer_sentiment_score,,score,at
i use CBE almost more than 5 years,CBE Bank,"['use', 'cbe', 'years']","['use', 'cbe', 'almost', 'more', 'than', 'years']",0,0.5,0.5,neutral,NEGATIVE,-0.901422501,,3,3/30/2026
"After update not working at all, I live in abroad.",CBE Bank,[],"['after', 'update', 'not', 'working', 'all', 'live', 'abroad']",0,0.13636363636363635,0.5,neutral,NEGATIVE,-0.897328317,,1,3/30/2026
this app essential app on this time,CBE Bank,['time'],"['essential', 'time']",0,0,0.3,neutral,POSITIVE,0.9950023293495178,,5,3/30/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,1,3/30/2026
it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,CBE Bank,[],"['not', 'well', 'functional', 'always', 'sluggish', 'poor', 'not', 'interested', 'because', 'always', 'straggling']",-0.8348,-0.2625,0.55,negative,NEGATIVE,-0.999819577,,1,3/30/2026
best bank ever,CBE Bank,['bank'],"['best', 'bank', 'ever']",0.6369,1,0.3,positive,POSITIVE,0.9998133778572083,,5,3/30/2026
best app,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.999686598777771,,5,3/30/2026
does this app support international transactions,CBE Bank,"['support', 'transactions']","['does', 'support', 'international', 'transactions']",0.4019,0,0,positive,POSITIVE,0.9887037873268127,,3,3/31/2026
Why mobile Banking is not functional?,CBE Bank,['banking'],"['why', 'mobile', 'banking', 'not', 'functional']",0,0,0,neutral,NEGATIVE,-0.999639511,,2,3/31/2026
"very nice app, but charge more.",CBE Bank,['charge'],"['nice', 'charge', 'more']",0.2609,0.64,0.75,positive,POSITIVE,0.9977237582206726,,5,3/31/2026
not working,CBE Bank,[],"['not', 'working']",0,0,0,neutral,NEGATIVE,-0.999777853,,3,3/31/2026
I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,CBE Bank,"['months', 'mobile', 'data', 'wifi', 'cause', 'android']","['can', 'use', 'months', 'ago', 'stopped', 'working', 'with', 'mobile', 'data', 'wifi', 'didn', 'know', 'cause', 'why', 'not', 'compatible', 'with', 'android']",-0.2263,0,0,negative,NEGATIVE,-0.999608338,,3,3/31/2026
very excellent application the number one bank of Ethiopia thanks,CBE Bank,"['number', 'bank', 'ethiopia', 'thanks']","['excellent', 'number', 'one', 'bank', 'ethiopia', 'thanks']",0.8016,0.6,0.6,positive,POSITIVE,0.9998600482940674,,5,3/31/2026
Good app,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998493194580078,,5,3/31/2026
not working,CBE Bank,[],"['not', 'working']",0,0,0,neutral,NEGATIVE,-0.999777853,,5,4/1/2026
it's fast and easy nice,CBE Bank,[],"['fast', 'easy', 'nice']",0.6908,0.41111111111111115,0.8111111111111112,positive,POSITIVE,0.999872088432312,,5,4/1/2026
"this platform is very useful for exchanging payment ,than *889#(it's slower ).�??��??�",CBE Bank,"['platform', 'payment', '.�??��??�']","['platform', 'useful', 'for', 'exchanging', 'payment', 'than', '889', 'slower']",0.4927,0.39,0,positive,NEGATIVE,-0.996285081,,5,4/1/2026
girms,CBE Bank,['girms'],['girms'],0,0,0,neutral,POSITIVE,0.9923914074897766,,5,4/1/2026
best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,4/1/2026
Good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,1,4/1/2026
good update,CBE Bank,['update'],"['good', 'update']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998435974121094,,5,4/2/2026
It's a good improvement. the app,CBE Bank,['improvement'],"['good', 'improvement']",0.7096,0.7,0.6000000000000001,positive,POSITIVE,0.9997755885124207,,5,4/2/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/2/2026
best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,4/2/2026
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,POSITIVE,0.9997851252555847,,5,4/2/2026
best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,4/2/2026
"This app is very unreliable�??slow, frequently crashes, and fails to sync properly. Transactions don�??t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn�??t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",CBE Bank,"['slow', 'crashes', 'transactions', 'money', 'record', 'activity', 'help', 'branch', 'working', 'today', 'problem', 'ethiopia']","['unreliable', 'slow', 'frequently', 'crashes', 'fails', 'sync', 'properly', 'transactions', 'don', 'reflect', 'accurately', 'transferred', 'money', 'deducted', 'never', 'received', 'with', 'record', 'recent', 'activity', 'often', 'stops', 'working', 'takes', 'too', 'long', 'update', 'reinstalling', 'doesn', 'help', 'even', 'have', 'visit', 'branch', 'for', 'start', 'working', 'which', 'unacceptable', 'today', 'problem', 'even', 'worse', 'outside', 'ethiopia']",-0.8631,-0.027777778,0.3259259259259259,negative,NEGATIVE,-0.99966526,,1,4/2/2026
Excellent,CBE Bank,['excellent'],['excellent'],0.5719,1,1,positive,POSITIVE,0.9998434782028198,,5,4/2/2026
so nice to me,CBE Bank,[],['nice'],0.4754,0.6,1,positive,POSITIVE,0.9998413324356079,,5,4/3/2026
bad�???,CBE Bank,['bad�???'],['bad'],0,0,0,neutral,NEGATIVE,-0.697056174,,1,4/3/2026
very much for your information �???,CBE Bank,['information'],"['much', 'for', 'your', 'information']",0,0.26,0.26,neutral,POSITIVE,0.9981623291969299,,5,4/3/2026
nice app keep it up�?���?��,CBE Bank,[],"['nice', 'keep']",0.4215,0.6,1,positive,POSITIVE,0.9996798038482666,,5,4/3/2026
i like this app,CBE Bank,[],['like'],0.3612,0,0,positive,POSITIVE,0.9996516704559326,,5,4/4/2026
WOW!,CBE Bank,['wow'],['wow'],0.6239,0.125,1,positive,POSITIVE,0.999649167060852,,4,4/4/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/4/2026
I love this app,CBE Bank,[],['love'],0.6369,0.5,0.6,positive,POSITIVE,0.9998608827590942,,5,4/4/2026
i have more experience,CBE Bank,['experience'],"['have', 'more', 'experience']",0,0.5,0.5,neutral,POSITIVE,0.9620587825775146,,5,4/4/2026
the app freezes sometimes and crashing,CBE Bank,[],"['freezes', 'sometimes', 'crashing']",-0.0258,0,0,neutral,NEGATIVE,-0.995442748,,1,4/4/2026
for active payment it's number one chose,CBE Bank,"['payment', 'number', 'chose']","['for', 'active', 'payment', 'number', 'one', 'chose']",0.4588,-0.133333333,0.6,positive,POSITIVE,0.99142986536026,,5,4/4/2026
Very good Service provider bank,CBE Bank,"['service', 'provider', 'bank']","['good', 'service', 'provider', 'bank']",0.4927,0.9099999999999999,0.7800000000000001,positive,POSITIVE,0.9998120665550232,,5,4/4/2026
"What a nasty Update is this !. May I say 'Events cast their shadow before happenings'. Trust, value, Bank's 'n' Customers' financial property, such like things, at risk once again(the State owned Bank experienced some months ago due to app development issues or some other unknown reasons. Unable to see my own current balance due to a hidden page being displayed, stacked transaction history since March 26th, among others. Is that a Banking app being developed by Professionals ?.",CBE Bank,"['update', 'may', ""'events"", 'shadow', 'happenings', 'trust', 'value', 'bank', 'customers', 'property', 'things', 'risk', 'state', 'bank', 'months', 'development', 'issues', 'reasons', 'balance', 'page', 'transaction', 'history', 'march', 'others', 'banking', 'professionals']","['what', 'nasty', 'update', 'may', 'say', 'events', 'cast', 'their', 'shadow', 'before', 'happenings', 'trust', 'value', 'bank', 'customers', 'financial', 'property', 'such', 'like', 'things', 'risk', 'once', 'again', 'state', 'owned', 'bank', 'experienced', 'some', 'months', 'ago', 'due', 'development', 'issues', 'some', 'other', 'unknown', 'reasons', 'unable', 'see', 'own', 'current', 'balance', 'due', 'hidden', 'page', 'being', 'displayed', 'stacked', 'transaction', 'history', 'since', 'march', '26th', 'among', 'others', 'banking', 'being', 'developed', 'professionals']",0.4199,-0.049358974,0.5121794871794871,positive,NEGATIVE,-0.999498844,,1,4/4/2026
it is not working,CBE Bank,[],"['not', 'working']",0,0,0,neutral,NEGATIVE,-0.999772131,,1,4/4/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,5,4/5/2026
Thank you for your service.,CBE Bank,"['thank', 'service']","['thank', 'for', 'your', 'service']",0.3612,0,0,positive,POSITIVE,0.9998093247413635,,1,4/5/2026
good �??�,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998576641082764,,5,4/5/2026
wow,CBE Bank,['wow'],['wow'],0.5859,0.1,1,positive,POSITIVE,0.999592125415802,,5,4/5/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,3,4/5/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/5/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,4,4/6/2026
fully functional greate application it makes payment and transaction easier,CBE Bank,"['greate', 'payment', 'transaction']","['fully', 'functional', 'greate', 'makes', 'payment', 'transaction', 'easier']",0.4215,0,0,positive,POSITIVE,0.9978688955307007,,5,4/6/2026
it's best for everyone,CBE Bank,['everyone'],"['best', 'for', 'everyone']",0.6369,1,0.3,positive,POSITIVE,0.9998076558113098,,5,4/6/2026
Good job,CBE Bank,['job'],"['good', 'job']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.999835729598999,,5,4/6/2026
good jobs,CBE Bank,['jobs'],"['good', 'jobs']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998511075973511,,5,4/6/2026
am happy using it.But why does it need continuous updates?,CBE Bank,['updates'],"['happy', 'using', 'why', 'does', 'need', 'continuous', 'updates']",0.5719,0.8,1,positive,NEGATIVE,-0.980224371,,5,4/6/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/6/2026
�??��??�,CBE Bank,[],[],0,0,0,neutral,NEGATIVE,-0.697056174,,5,4/7/2026
difficult to see our transactions after aweek,CBE Bank,"['transactions', 'aweek']","['difficult', 'see', 'our', 'transactions', 'after', 'aweek']",-0.3612,-0.5,1,negative,NEGATIVE,-0.999567449,,1,4/7/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,1,4/7/2026
Easy to use and reliable.,CBE Bank,['easy'],"['easy', 'use', 'reliable']",0.4404,0.43333333333333335,0.8333333333333334,positive,POSITIVE,0.9997798800468445,,5,4/7/2026
swift,CBE Bank,['swift'],['swift'],0.2023,0,0,positive,POSITIVE,0.9991281628608704,,5,4/7/2026
best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,4/7/2026
it is wel,CBE Bank,[],['wel'],0,0,0,neutral,POSITIVE,0.9836228489875793,,5,4/7/2026
Good bank,CBE Bank,['bank'],"['good', 'bank']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998420476913452,,5,4/7/2026
deduction but no transaction. not good,CBE Bank,"['deduction', 'transaction']","['deduction', 'transaction', 'not', 'good']",-0.7104,-0.35,0.6000000000000001,negative,NEGATIVE,-0.999736249,,3,4/8/2026
�?��?��?� �?��?� �?��?�,CBE Bank,[],[],0,0,0,neutral,NEGATIVE,-0.833724976,,4,4/8/2026
this app is very good,CBE Bank,[],['good'],0.4927,0.9099999999999999,0.7800000000000001,positive,POSITIVE,0.9998623132705688,,5,4/8/2026
its good,CBE Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998385906219482,,5,4/8/2026
very nice,CBE Bank,[],['nice'],0.4754,0.78,1,positive,POSITIVE,0.9998563528060913,,5,4/8/2026
easy and fast,CBE Bank,[],"['easy', 'fast']",0.4404,0.31666666666666665,0.7166666666666667,positive,POSITIVE,0.9995583891868591,,5,4/8/2026
good app,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998493194580078,,5,4/9/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/9/2026
Musxafaa,CBE Bank,['musxafaa'],['musxafaa'],0,0,0,neutral,NEGATIVE,-0.995242238,,5,4/9/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/9/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/9/2026
great �??�,CBE Bank,[],['great'],0.6249,0.8,0.75,positive,POSITIVE,0.9997692704200745,,5,4/9/2026
I had good time with CBE,CBE Bank,"['time', 'cbe']","['had', 'good', 'time', 'with', 'cbe']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998478889465332,,5,4/9/2026
crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,CBE Bank,"['crashes', 'time', 'asap', 'bank']","['crashes', 'every', 'time', 'need', 'update', 'asap', 'will', 'changing', 'bank', 'tjis', 'continues']",0,0,0,neutral,NEGATIVE,-0.999273241,,1,4/9/2026
Good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/9/2026
well expriences,CBE Bank,['expriences'],"['well', 'expriences']",0.2732,0,0,positive,POSITIVE,0.9049556851387024,,5,4/9/2026
itii fayadamaa namaa fayadaa kuniin,CBE Bank,"['itii', 'fayadamaa', 'fayadaa', 'kuniin']","['itii', 'fayadamaa', 'namaa', 'fayadaa', 'kuniin']",0,0,0,neutral,NEGATIVE,-0.985926509,,5,4/10/2026
crush alot,CBE Bank,"['crush', 'alot']","['crush', 'alot']",-0.1531,0,0,negative,NEGATIVE,-0.999557316,,1,4/10/2026
Best,CBE Bank,[],['best'],0.6369,1,0.3,positive,POSITIVE,0.9997941851615906,,5,4/10/2026
Not that happy at this app,CBE Bank,[],"['not', 'happy']",-0.4585,0.8,1,negative,NEGATIVE,-0.999756396,,3,4/10/2026
100%100 Fast and Amazing app !! �?�?�?�?�?�?�?�?�?�?�?�?�?�?�?�? �???�??��??��??�,CBE Bank,"['fast', 'amazing', '�???�??��??��??�']","['100', '100', 'fast', 'amazing']",0.658,0.5687500000000001,0.75,positive,POSITIVE,0.9997475743293762,,5,4/10/2026
"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",CBE Bank,"['favorite', 'problem', 'bank', 'thank']","['favorite', 'far', 'how', 'come', 'not', 'able', 'download', 'fix', 'our', 'problem', 'ourselves', 'not', 'fair', 'bank', 'fix', 'for', 'please', 'think', 'about', 'thank']",0.3751,0,0.88125,positive,POSITIVE,0.8537614941596985,,5,4/11/2026
Enough good even it hasn't transferring for other telebirr users,CBE Bank,"['telebirr', 'users']","['enough', 'good', 'even', 'hasn', 'transferring', 'for', 'other', 'telebirr', 'users']",0.4404,0.19166666666666665,0.4916666666666667,positive,POSITIVE,0.9993717074394226,,5,4/11/2026
easy fast helpful for our business,CBE Bank,"['helpful', 'business']","['easy', 'fast', 'helpful', 'for', 'our', 'business']",0.6908,0.31666666666666665,0.7166666666666667,positive,POSITIVE,0.9969444870948792,,5,4/11/2026
lulit tukka giro,CBE Bank,"['tukka', 'giro']","['lulit', 'tukka', 'giro']",0,0,0,neutral,POSITIVE,0.8195421695709229,,5,4/11/2026
not good not bad.,CBE Bank,[],"['not', 'good', 'not', 'bad']",-0.5824,-2.78E-17,0.6333333333333333,negative,POSITIVE,0.9955518841743469,,3,4/11/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/11/2026
bad strresing,CBE Bank,['strresing'],"['bad', 'strresing']",-0.5423,-0.7,0.6666666666666666,negative,NEGATIVE,-0.999797285,,1,4/11/2026
cool,CBE Bank,['cool'],['cool'],0.3182,0.35,0.65,positive,POSITIVE,0.9998509883880615,,5,4/11/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/11/2026
I can't download this app please assist how it can be downloaded,CBE Bank,['please'],"['can', 'download', 'please', 'assist', 'how', 'can', 'downloaded']",0.3182,0,0,positive,NEGATIVE,-0.993616939,,1,4/12/2026
�?�?,CBE Bank,[],[],0,0,0,neutral,NEGATIVE,-0.697056174,,5,4/12/2026
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",CBE Bank,"['performance', 'week', 'access', 'balance', 'funds', 'situation', 'concern', 'inconvenience', 'access', 'money', 'manner', 'payments', 'loss', 'confidence', 'trust', 'furthermore', 'response', 'message', 'customer', 'support', 'team']","['not', 'great', 'its', 'performance', 'has', 'unfortunately', 'declined', 'further', 'for', 'past', 'week', 'have', 'been', 'unable', 'access', 'balance', 'transfer', 'funds', 'situation', 'causing', 'considerable', 'concern', 'inconvenience', 'cannot', 'access', 'money', 'timely', 'manner', 'has', 'resulted', 'late', 'payments', 'loss', 'confidence', 'trust', 'furthermore', 'have', 'not', 'received', 'response', 'message', 'customer', 'support', 'team']",-0.05,-0.092857143,0.5785714285714285,negative,NEGATIVE,-0.999774277,,1,4/12/2026
sestemaa siresun osoo manaa banki hindemne namnii barbade national id isa fayadamee osoo banachun danda'ame bayye nammati tola live event qabate,CBE Bank,"['sestemaa', 'siresun', 'osoo', 'manaa', 'banki', 'hindemne', 'isa', 'fayadamee', 'osoo', 'banachun', ""danda'ame"", 'bayye', 'tola', 'event', 'qabate']","['sestemaa', 'siresun', 'osoo', 'manaa', 'banki', 'hindemne', 'namnii', 'barbade', 'national', 'isa', 'fayadamee', 'osoo', 'banachun', 'danda', 'ame', 'bayye', 'nammati', 'tola', 'live', 'event', 'qabate']",0,0.13636363636363635,0.5,neutral,NEGATIVE,-0.979566514,,3,4/13/2026
I customer for commercial bank of Ethiopia I trade,CBE Bank,"['customer', 'bank', 'ethiopia']","['customer', 'for', 'commercial', 'bank', 'ethiopia', 'trade']",0,0,0,neutral,NEGATIVE,-0.937262595,,5,4/13/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/13/2026
nice,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998552799224854,,5,4/13/2026
accessibility need to be taken seriously. There are people excluded because of inaccessible apps.,CBE Bank,"['accessibility', 'need', 'people', 'apps']","['accessibility', 'need', 'taken', 'seriously', 'there', 'people', 'excluded', 'because', 'inaccessible', 'apps']",-0.4767,-0.333333333,0.6666666666666666,negative,NEGATIVE,-0.950391531,,3,4/13/2026
it's has an issue,CBE Bank,['issue'],"['has', 'issue']",0,0,0,neutral,POSITIVE,0.9217185974121094,,1,4/13/2026
Pls facilitate transfer to telebirr agent,CBE Bank,"['pls', 'facilitate', 'transfer', 'agent']","['pls', 'facilitate', 'transfer', 'telebirr', 'agent']",0.0772,0,0,positive,NEGATIVE,-0.945236683,,3,4/14/2026
"before, it was nice. now it does not work and crash automatically",CBE Bank,[],"['before', 'nice', 'now', 'does', 'not', 'work', 'crash', 'automatically']",0.6197,0.6,1,positive,NEGATIVE,-0.999057829,,2,4/14/2026
pls speedup for quick uses,CBE Bank,"['pls', 'speedup', 'uses']","['pls', 'speedup', 'for', 'quick', 'uses']",0.0772,0.3333333333333333,0.5,positive,NEGATIVE,-0.606764078,,5,4/14/2026
Factory reset made me to lose my pin to login to my account!,CBE Bank,"['factory', 'reset', 'pin', 'account']","['factory', 'reset', 'made', 'lose', 'pin', 'login', 'account']",-0.4574,0,0,negative,NEGATIVE,-0.999756396,,5,4/15/2026
gooooodddd.....,CBE Bank,"['gooooodddd', '.....']",['gooooodddd'],0,0,0,neutral,NEGATIVE,-0.988005102,,5,4/15/2026
keeps on saying bucket override when I try to pay henon school fee,CBE Bank,"['keeps', 'bucket', 'school', 'fee']","['keeps', 'saying', 'bucket', 'override', 'when', 'try', 'pay', 'henon', 'school', 'fee']",-0.1027,0,0,negative,NEGATIVE,-0.996587753,,2,4/15/2026
This is app is not fast and not working well in all android phone. eg it is not functioning well using one plus phone.,CBE Bank,"['phone', 'phone']","['not', 'fast', 'not', 'working', 'well', 'all', 'android', 'phone', 'not', 'functioning', 'well', 'using', 'one', 'plus', 'phone']",-0.3875,-0.1,0.6,negative,NEGATIVE,-0.999786198,,1,4/15/2026
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,POSITIVE,0.9997851252555847,,5,4/15/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/15/2026
it's v good app sometimes there is a problem on other bank transfers,CBE Bank,"['problem', 'bank', 'transfers']","['good', 'sometimes', 'there', 'problem', 'other', 'bank', 'transfers']",0.0516,0.2875,0.48750000000000004,positive,NEGATIVE,-0.992324591,,4,4/15/2026
does not working well,CBE Bank,[],"['does', 'not', 'working', 'well']",-0.2057,0,0,negative,NEGATIVE,-0.999774754,,5,4/15/2026
"life longe bank CBE , Save & change your life.",CBE Bank,"['life', 'longe', 'bank', 'cbe', 'save', 'life']","['life', 'longe', 'bank', 'cbe', 'save', 'change', 'your', 'life']",0.4939,0,0,positive,POSITIVE,0.9976091384887695,,5,4/15/2026
it is more convenient app,CBE Bank,[],"['more', 'convenient']",0,0.5,0.5,neutral,NEGATIVE,-0.86802882,,5,4/16/2026
it's best app to use recently and upgraded day to day for internationalization,CBE Bank,"['day', 'day', 'internationalization']","['best', 'use', 'recently', 'upgraded', 'day', 'day', 'for', 'internationalization']",0.6369,0.5,0.275,positive,POSITIVE,0.9983494281768799,,5,4/16/2026
it looks fantasy,CBE Bank,[],"['looks', 'fantasy']",0,0,0,neutral,POSITIVE,0.9888854026794434,,5,4/16/2026
nice app,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998061060905457,,5,4/16/2026
ok,CBE Bank,[],[],0.296,0.5,0.5,positive,POSITIVE,0.9997851252555847,,5,4/16/2026
nice app,CBE Bank,[],['nice'],0.4215,0.6,1,positive,POSITIVE,0.9998061060905457,,5,4/16/2026
very nice app,CBE Bank,[],['nice'],0.4754,0.78,1,positive,POSITIVE,0.9998562335968018,,5,4/16/2026
"im having a terrible experience with this app, im getting 'unable to connect' error, this happened for a while now and they didnt fix it, it is so unreliable in times i need it that i have to resort to using ussd code instead of it. please fix this issue",CBE Bank,"['experience', 'error', 'while', 'times', 'code', 'issue']","['having', 'terrible', 'experience', 'with', 'getting', 'unable', 'connect', 'error', 'happened', 'for', 'while', 'now', 'didnt', 'fix', 'unreliable', 'times', 'need', 'have', 'resort', 'using', 'ussd', 'code', 'instead', 'please', 'fix', 'issue']",-0.5423,-0.75,0.75,negative,NEGATIVE,-0.99971503,,1,4/17/2026
Absolute garbage,CBE Bank,"['absolute', 'garbage']","['absolute', 'garbage']",0,0.2,0.9,neutral,NEGATIVE,-0.999792874,,1,4/17/2026
CBE does not offer anything international.,CBE Bank,"['cbe', 'anything']","['cbe', 'does', 'not', 'offer', 'anything', 'international']",0,0,0,neutral,NEGATIVE,-0.999415874,,3,4/17/2026
its good,CBE Bank,[],"['its', 'good']",0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998385906219482,,5,4/17/2026
korsa,CBE Bank,['korsa'],['korsa'],0,0,0,neutral,POSITIVE,0.9419000744819641,,5,4/17/2026
Excellent,CBE Bank,['excellent'],['excellent'],0.5719,1,1,positive,POSITIVE,0.9998434782028198,,5,4/18/2026
excellent,CBE Bank,['excellent'],['excellent'],0.5719,1,1,positive,POSITIVE,0.9998434782028198,,5,4/18/2026
�?��?��??�??�?��?� �?��??�?��?��?� �??�?��?��?��?��?��??�?� �?��?��?� �?��?� �??�?��?��?��?��?� �?��?�,CBE Bank,"['�?��??�?��?��?�', '�??�?��?��?��?��?��??�?�', '�??�?��?��?��?��?�']","['�?��?��??�??�?��?�', '�?��??�?��?��?�', '�??�?��?��?��?��?��??�?�', '�??�?��?��?��?��?�']",0,0,0,neutral,NEGATIVE,-0.920040488,,4,4/18/2026
I have 1 year and thank you for yo ur genuine service,CBE Bank,"['year', 'thank', 'genuine', 'service']","['have', 'year', 'thank', 'for', 'genuine', 'service']",0.3612,0.4,0.5,positive,POSITIVE,0.9996104836463928,,5,4/18/2026
super spp,CBE Bank,"['super', 'spp']","['super', 'spp']",0.5994,0.3333333333333333,0.6666666666666666,positive,POSITIVE,0.5455182194709778,,5,4/18/2026
it is the best application in the Ethiopia I like it this,CBE Bank,['ethiopia'],"['best', 'ethiopia', 'like']",0.7717,1,0.3,positive,POSITIVE,0.9998393058776855,,5,4/18/2026
�?��?�ፍ �?��?�,CBE Bank,['�?��?�ፍ'],['�?��?�ፍ'],0,0,0,neutral,NEGATIVE,-0.785058081,,4,4/18/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,5,4/19/2026
good,CBE Bank,[],['good'],0.4404,0.7,0.6000000000000001,positive,POSITIVE,0.9998161196708679,,4,4/19/2026
Rtgs limit very small,CBE Bank,"['rtgs', 'limit']","['rtgs', 'limit', 'small']",0,-0.325,0.52,neutral,NEGATIVE,-0.960435927,,3,4/19/2026
